xn,y,ymin,ymax,d,d_obs,u
19.23402,19.221245,20.0,22.0,28.566668,28.566668,0.9996873
19.246798,19.23402,20.0,22.0,28.6,28.6,0.9996928
19.259579,19.246798,20.0,22.0,28.633333,28.633333,0.99969816
19.272362,19.259579,20.0,22.0,28.666666,28.666666,0.99970335
19.285149,19.272362,20.0,22.0,28.7,28.7,0.9997085
19.297937,19.285149,20.0,22.0,28.733334,28.733334,0.9997136
19.31073,19.297937,20.0,22.0,28.766666,28.766666,0.9997186
19.323528,19.31073,20.0,22.0,28.8,28.8,0.9997235
19.33633,19.323528,20.0,22.0,28.833334,28.833334,0.9997284
19.349136,19.33633,20.0,22.0,28.866667,28.866667,0.99973315
19.361948,19.349136,20.0,22.0,28.9,28.9,0.9997378
19.374763,19.361948,20.0,22.0,28.933332,28.933332,0.9997423
19.387585,19.374763,20.0,22.0,28.966667,28.966667,0.99974686
19.400412,19.387585,20.0,22.0,29.0,29.0,0.99975127
19.413242,19.400412,20.0,22.0,29.033333,29.033333,0.9997557
19.426079,19.413242,20.0,22.0,29.066668,29.066668,0.99976
19.438921,19.426079,20.0,22.0,29.1,29.1,0.99976414
19.45177,19.438921,20.0,22.0,29.133333,29.133333,0.9997683
19.464626,19.45177,20.0,22.0,29.166666,29.166666,0.99977237
19.477488,19.464626,20.0,22.0,29.2,29.2,0.9997764
19.490355,19.477488,20.0,22.0,29.233334,29.233334,0.99978036
19.50323,19.490355,20.0,22.0,29.266666,29.266666,0.9997842
19.51611,19.50323,20.0,22.0,29.3,29.3,0.999788
19.528997,19.51611,20.0,22.0,29.333334,29.333334,0.9997917
19.541891,19.528997,20.0,22.0,29.366667,29.366667,0.9997954
19.554792,19.541891,20.0,22.0,29.4,29.4,0.99979895
19.567701,19.554792,20.0,22.0,29.433332,29.433332,0.99980253
19.580616,19.567701,20.0,22.0,29.466667,29.466667,0.999806
19.593538,19.580616,20.0,22.0,29.5,29.5,0.99980944
19.606468,19.593538,20.0,22.0,29.533333,29.533333,0.9998128
19.619406,19.606468,20.0,22.0,29.566668,29.566668,0.9998161
19.63235,19.619406,20.0,22.0,29.6,29.6,0.99981934
19.645304,19.63235,20.0,22.0,29.633333,29.633333,0.99982256
19.658264,19.645304,20.0,22.0,29.666666,29.666666,0.99982566
19.671232,19.658264,20.0,22.0,29.7,29.7,0.9998287
19.684208,19.671232,20.0,22.0,29.733334,29.733334,0.9998318
19.697191,19.684208,20.0,22.0,29.766666,29.766666,0.9998348
19.710184,19.697191,20.0,22.0,29.8,29.8,0.99983764
19.723185,19.710184,20.0,22.0,29.833334,29.833334,0.9998405
19.736193,19.723185,20.0,22.0,29.866667,29.866667,0.99984336
19.749208,19.736193,20.0,22.0,29.9,29.9,0.9998461
19.762234,19.749208,20.0,22.0,29.933332,29.933332,0.99984884
19.775267,19.762234,20.0,22.0,29.966667,29.966667,0.9998516
19.788307,19.775267,20.0,22.0,30.0,30.0,0.9998542
19.801357,19.788307,20.0,22.0,30.016666,30.016666,0.9998561
19.81402,19.801357,20.0,22.0,30.033333,30.033333,0.9998579
19.82632,19.81402,20.0,22.0,30.05,30.05,0.9998598
19.838282,19.82632,20.0,22.0,30.066668,30.066668,0.9998615
19.849922,19.838282,20.0,22.0,30.083334,30.083334,0.99986315
19.861263,19.849922,20.0,22.0,30.1,30.1,0.9998648
19.872322,19.861263,20.0,22.0,30.116667,30.116667,0.9998665
19.883118,19.872322,20.0,22.0,30.133333,30.133333,0.99986804
19.893663,19.883118,20.0,22.0,30.15,30.15,0.9998696
19.903976,19.893663,20.0,22.0,30.166666,30.166666,0.999871
19.91407,19.903976,20.0,22.0,30.183332,30.183332,0.99987245
19.923956,19.91407,20.0,22.0,30.2,30.2,0.9998739
19.93365,19.923956,20.0,22.0,30.216667,30.216667,0.9998753
19.94316,19.93365,20.0,22.0,30.233334,30.233334,0.9998766
19.952497,19.94316,20.0,22.0,30.25,30.25,0.99987805
19.961676,19.952497,20.0,22.0,30.266666,30.266666,0.99987924
19.970701,19.961676,20.0,22.0,30.283333,30.283333,0.99988055
19.979584,19.970701,20.0,22.0,30.3,30.3,0.99988186
19.988333,19.979584,20.0,22.0,30.316668,30.316668,0.99988306
19.996956,19.988333,20.0,22.0,30.333334,30.333334,0.99988425
20.00546,19.996956,20.0,22.0,30.35,30.35,0.99988544
20.013853,20.00546,20.0,22.0,30.366667,30.366667,0.99988663
20.02214,20.013853,20.0,22.0,30.383333,30.383333,0.9998877
20.03033,20.02214,20.0,22.0,30.4,30.4,0.9998889
20.038427,20.03033,20.0,22.0,30.416666,30.416666,0.99988997
20.046436,20.038427,20.0,22.0,30.433332,30.433332,0.99989104
20.054363,20.046436,20.0,22.0,30.45,30.45,0.9998921
20.062214,20.054363,20.0,22.0,30.466667,30.466667,0.9998932
20.06999,20.062214,20.0,22.0,30.483334,30.483334,0.99989426
20.0777,20.06999,20.0,22.0,30.5,30.5,0.99989533
20.085344,20.0777,20.0,22.0,30.516666,30.516666,0.9998963
20.092928,20.085344,20.0,22.0,30.533333,30.533333,0.99989724
20.100456,20.092928,20.0,22.0,30.55,30.55,0.9998983
