,T_EW1,T_EW2,T_EW3,T_EW4,T_AW1,T_AW2,T_AW3,T_FW1,T_FW2,T_FW3,T_AF1,T_AF2,T_AF3,T_FC1,T_FC2,T_FC3,T_FF1,T_FF2,T_FF3,T_AR1,T_AR2,T_AR3,T_RJ1,T_RJ2,T_RJ3,T_DR1,T_IW1,T_IW2,T_IM1,T_FM1,T_LIV,T_FND,T_ATC
T_AF1,8.201158783411729e-07,7.636642031455635e-06,0.0002802651180751983,0.00213408994227394,0.00015975134761701172,0.001340960698650235,0.009091005918268539,7.768335022163916e-10,1.0960986740467119e-07,6.515976672398225e-07,0.0999080224671884,0.3625016981621451,0.07717095752033279,0.0003012394266782181,0.0009110654978684193,0.00029572017314983846,4.7788062733351144e-08,2.3763181365157416e-06,9.550572056996675e-07,0.06078787587220911,0.0010954258537405497,0.12994877892135703,1.6010547446552116e-10,1.1604359606447578e-08,1.838970836838431e-07,3.811555882047717e-05,0.001707601116350041,0.0005584345331705768,0.00040563482711662035,7.637400728322887e-07,0.017386840855178356,3.1815333515572614e-05,0.1093894475821789
T_AF2,4.167381220138374e-06,3.801578861765864e-05,0.0012405102197242384,0.007793632020345991,1.1577982105493978e-05,0.00010087331342833665,0.0008803452065869463,5.561999755937942e-09,7.017229396835824e-07,3.65359051257821e-06,0.04765492462530872,0.6350980159393371,0.18504979263679036,0.001311979254786242,0.0034306474524901606,0.0009549777370079701,3.2175197972629884e-07,1.4148996567305079e-05,4.921843429072266e-06,0.005759227676700793,0.00012207232680540097,0.015705205785117905,1.0647620792574306e-09,7.4955602447957e-08,1.0499274094353024e-06,0.00014244629222554184,0.00628703488761996,0.0022542456962019817,0.0015780053796817751,4.422065209359108e-06,0.05309137736742593,0.00015862591489371387,0.023761065362573813
T_AF3,4.531374119953533e-05,0.0004011797519393978,0.010753701339784217,0.046318990164884985,1.3565170601439409e-06,1.2168836944872474e-05,0.00012528231945896628,1.0202853631219272e-07,1.0930025164004622e-05,4.6282421905657636e-05,0.012866889964512193,0.23469863255488138,0.36287809748573446,0.010892956452353053,0.021729889954850295,0.0043913415026137605,5.3945185533700615e-06,0.0001970804367263361,5.423846233569294e-05,0.0007770784576468463,1.8287435757098875e-05,0.0024571183316733415,1.7499325300041878e-08,1.1843822392407548e-06,1.3731119340178096e-05,0.0008946410991518144,0.03857122812469179,0.016269216521406428,0.010908926749345916,5.9288717891685855e-05,0.21344166381450708,0.0016632167121818765,0.004863496042280605
T_FC1,5.931581335918419e-06,5.390945256513768e-05,0.00171725040558295,0.010152108221060977,5.977734398438756e-10,5.825192910345976e-09,8.724389034353471e-08,9.636194404530967e-05,0.005365621235639373,0.009012560296780651,2.9096985804405498e-05,0.0009639742125789363,0.006310478031386516,0.36338919288717214,0.2713425801083752,0.014846618213139807,0.0035650985621327974,0.060799919628380134,0.00564956303506703,4.4479736263555383e-07,1.3472092138319934e-08,1.9685516241686696e-06,1.0348472902984433e-05,0.0006256976326336255,0.003288985364256136,0.00018712049054188975,0.00820540775597996,0.003045971037169121,0.00210018884288338,0.01673204540490732,0.06320303647442821,0.14849730981450782,6.513357840528478e-06
T_FC2,2.279188918138612e-05,0.00020220189674639678,0.005497328644763355,0.024200027312201482,3.374202766300958e-09,3.209097053978104e-08,4.3526179311599856e-07,2.9301520757021065e-05,0.002030958294306308,0.004748210184212598,0.00010884078758216627,0.0031176002270348916,0.015569687806158536,0.33560145573157224,0.29880522730581477,0.01725289331389478,0.0012191051801326688,0.026896437447779767,0.003689657021722649,2.356059545392534e-06,6.658611936557471e-08,9.531507990212775e-06,3.6961567729292453e-06,0.00023043048325929326,0.0015881905055596395,0.0004658827503108425,0.020093109952256105,0.008419735433849346,0.005642813813812167,0.007540261272212446,0.11364840364992586,0.10128971139738546,2.7749256597567177e-05
T_FC3,9.723735380296387e-05,0.0008435807828565726,0.01936769760632383,0.0594636921673137,2.166150048297126e-08,2.0131024398806163e-07,2.4662897145061134e-06,1.6843483822511786e-05,0.0012237406168928695,0.003037263087692497,0.0004531810637482511,0.011132336061500886,0.04036159469314118,0.23554948199563056,0.221314905200702,0.014586749227640325,0.000719390229987996,0.01670479032677177,0.002444721866688355,1.4117392471698887e-05,3.7235595569121496e-07,5.212886720909495e-05,2.200181076491463e-06,0.00013809745536705375,0.0010018896647927432,0.0012212634777054622,0.05224488623000127,0.024670264895857635,0.01658543129036208,0.0047024562383841595,0.19797551492373466,0.06760768341628424,0.00013250993593367927
T_FF1,5.3187835271984e-11,5.29983064479406e-10,2.688562705395912e-08,3.333320750972057e-07,1.7254633494331285e-15,1.83570100306417e-14,3.7396752370649764e-13,1.324299679793689e-07,1.0928396021602931e-05,3.353209074548163e-05,2.886530213621433e-10,1.4783598822361314e-08,1.954292996126225e-07,0.0002229420723426382,6.163902828743752e-05,2.835504985576413e-06,0.8769626886086873,0.10314234425885324,0.00047939971888229043,1.5415498312100436e-12,5.857604334457529e-14,9.06539006105275e-12,1.8889580697363378e-08,1.215306793570484e-06,1.0551914671852537e-05,5.683617630489977e-09,2.6692181033026647e-07,6.613389810847173e-08,5.5989569202953434e-08,4.777847538231422e-05,4.381853479121731e-06,0.0009358079219189147,4.3769092278816955e-11
T_FF2,3.3635917047558035e-09,3.255188647963487e-08,1.449983922342798e-06,1.482563740940476e-05,1.496508398596886e-13,1.5498632000856744e-12,2.8929821653924713e-11,5.168167825549043e-06,0.0003254306883644026,0.0006698201059971858,1.7685703055709544e-08,8.010242166240631e-07,8.797141229649581e-06,0.004684729955276574,0.001675600303339382,8.11274774641109e-05,0.12708610274848076,0.8449972550250621,0.004311807375423162,1.271491228015961e-10,4.521278355946244e-12,6.890067210809614e-10,6.071821582710205e-07,3.735192181239632e-05,0.00023114593060428898,2.569784788618351e-07,1.1829779396689999e-05,3.2982588447267424e-06,2.6000099186984213e-06,0.0011260484442670077,0.0001601820344712765,0.013267299786918582,2.993269840836839e-09
T_FF3,2.1603348449111743e-07,2.0271945888809665e-06,7.741272734024273e-05,0.0006188030561013713,1.3808517270368199e-11,1.3904308312719863e-10,2.3537872270343837e-09,0.00018807470900858515,0.008128894227080762,0.008210446224095315,1.0980627224381725e-06,4.3045505774636825e-05,0.00037401191105132774,0.06724754456793122,0.03550926512116211,0.0018341566170491082,0.0912512568794173,0.6660998983117402,0.006129333711297735,1.1080378786647855e-08,3.664043798374799e-10,5.483278388704836e-08,1.6773539438447233e-05,0.0009829311282897686,0.0035545697305908066,1.0995246880200305e-05,0.0004939489813395577,0.0001583955878051863,0.00011589416824048724,0.02043278046285422,0.0051659575591513985,0.08234258293142721,2.11019545986097e-07
T_AR1,1.1656660798583731e-09,1.1524562076663625e-08,5.65039719910434e-07,6.643982904705154e-06,2.1150668518490266e-05,0.000180694051599501,0.0013870351549805776,4.765198109026801e-13,8.847050980034576e-11,7.209545801454578e-10,0.008090386711614748,0.0058306747894309695,0.0006202938629865861,6.128840604823972e-07,2.624801706328384e-06,1.226072068531816e-06,3.3966687717124614e-11,2.2737773448555507e-09,1.2826529298805102e-09,0.04981809554514641,0.0007422926957590633,0.07780396054734855,1.1678446971233486e-13,9.18967814875744e-12,1.9619173264291216e-10,1.1377459659090305e-07,5.312106985598103e-06,1.3623679417189598e-06,1.1285032439778651e-06,7.924340814001388e-10,8.22354705120962e-05,4.684389509129831e-08,0.024969743421003433
