,T_EXT,T_GND,H_EW1,H_EW4,H_AW1,H_AW3,H_FW1,H_FW3,H_AF1,H_AF3,H_FC1,H_FC3,H_FF1,H_FF3,H_AR1,H_AR3,H_RJ1,H_RJ3,H_DR1,H_IW1,H_IM1,H_FM1,H_LIV,H_FND,H_ATC
T_AF1,0.1245416958540947,1.1271772987801639e-10,2.7906093707780784e-09,2.3300455218150947e-06,5.160741440373299e-05,0.00031614033955863443,2.181969800640303e-14,2.2428354140857446e-09,0.009413278213556479,0.00017082926526643133,1.6524214812702302e-07,3.8945425694114355e-06,9.532271413866813e-13,4.999265472711431e-09,0.00012505135701812003,0.00046028923311212434,3.3768741922798974e-12,1.1192285850168615e-09,6.744679503604705e-07,2.053412452790403e-06,1.6383110741189047e-07,1.8184637125772653e-10,1.1140476726669908e-05,2.0848967542043842e-08,0.002506067496558813
T_AF2,0.007541931426065469,8.465152913752826e-10,1.6391566946168177e-08,1.0443605012787344e-05,2.5190777196564716e-06,1.8914041229837868e-05,1.7253086403953142e-13,1.437235486131994e-08,0.0010600309108259735,0.0005637974017002218,8.559214115107401e-07,1.58620572167085e-05,7.147803767507602e-12,2.9896025980382545e-08,7.043565110329502e-06,3.022808097677313e-05,2.5079713359568874e-11,7.269653348012238e-09,3.068332508074839e-06,9.21430165407899e-06,7.643457678990314e-07,1.1934612486439275e-09,4.346582177599315e-05,1.20856368527027e-07,0.00021543301864548184
T_AF3,0.004631059913608773,1.6599496085644717e-08,2.2537411049214665e-07,9.295165791793259e-05,2.292702974822643e-07,2.0131932445049016e-06,3.6365421556670655e-12,2.2422250587414352e-07,0.00017082926526630916,0.0028139107231530845,9.648005075204593e-06,0.00011934053310741312,1.398418416764107e-10,4.19603715417315e-07,7.055806477618962e-07,3.3977541269568564e-06,4.835101323696185e-10,1.1592703731553614e-07,2.8115068271833676e-05,8.264624484991711e-05,7.362697722473618e-06,1.9357154725476806e-08,0.00030256275208303195,1.6237342989360675e-06,2.9025454518151568e-05
T_FC1,0.000774362886525602,2.0227176506564005e-05,2.3642039753411018e-08,1.4493010721168465e-05,5.965210019502433e-11,7.803322643575322e-10,5.850463395232995e-09,0.00011115651307693718,1.6524214826088075e-07,9.648005075576915e-06,0.0014569755962535664,0.0005114790806532078,1.6860526793465507e-07,0.00013613703938699604,2.259219310307195e-10,1.4517682921423238e-09,5.415237315864017e-07,6.458686192506337e-05,4.270780681044528e-06,1.2781332298828838e-05,1.0686830089203413e-06,1.1839151750021321e-05,5.790065876876808e-05,0.0004646151971471961,1.864930518385594e-08
T_FC2,0.0020402095618937037,5.656321718960115e-06,1.1045207976166137e-07,4.7400363654207245e-05,3.845048759650984e-10,4.5063638427954415e-09,1.4956755227721586e-09,4.190576403275217e-05,7.524510227314165e-07,3.212615471040555e-05,0.0007920700133283306,0.0010900122285530701,4.732651945552575e-08,5.895911008916115e-05,1.3809168259425171e-09,8.198569939289755e-09,1.562172229570329e-07,2.328679035201546e-05,1.4301497612134115e-05,4.208441250075805e-05,3.727342902493733e-06,4.117010452181812e-06,0.00015642421060147986,0.00020815958847987298,9.462745612967113e-08
T_FC3,0.006328100714969546,3.187933941011982e-06,5.85404678202405e-07,0.00017203268740222934,2.843324446181432e-09,2.9853951142323854e-08,8.242185917704714e-10,2.5230995266903584e-05,3.8945425694462384e-06,0.00011934053310759848,0.0005114790806529346,0.0024846489345046927,2.6697241492550868e-08,3.6485045894449395e-05,9.655876591468988e-09,5.294988709954543e-08,8.868038075203665e-08,1.38985481111387e-05,5.347530723690101e-05,0.00015506340325945387,1.4693422107616794e-05,2.439545880263694e-06,0.0004635020291324503,0.00012968994998472974,5.471561578840554e-07
T_FF1,7.842776327468408e-08,0.018082759015475146,1.24045761680818e-13,2.1795773901045133e-10,1.176952306857229e-16,2.191655557804369e-15,5.924066114308454e-12,2.2490005886914382e-07,9.531944734848136e-13,1.3984180754452188e-10,1.6860526759520572e-07,2.669724132420955e-08,0.00015735596764012056,7.5650214212007156e-06,5.194724666458757e-16,4.309440479146026e-15,6.762328841978024e-10,1.210863215263465e-07,6.108520501661387e-11,1.9358362196536453e-10,1.40746678689493e-11,2.0881052851333446e-08,1.529175402419398e-09,1.3137862904268142e-06,7.685852606914604e-14
T_FF2,3.3689271015725634e-06,0.0012930376662637112,9.064397155277163e-12,1.1857613302233454e-08,1.1266234026339525e-14,1.9017488973675967e-13,2.8571046842318433e-10,6.725874474471502e-06,6.763011965685233e-11,7.671772566137725e-09,5.158452413681083e-06,1.0324112803476461e-06,1.1251637973384522e-05,0.00013580356098080748,4.788673424200408e-14,3.6916469025246984e-13,2.8227451573699488e-08,3.8082934197991934e-06,3.3619601825004378e-09,1.0481280484197429e-08,7.891183853925237e-10,6.836805432883842e-07,7.11464583769785e-08,3.115501558831937e-05,6.002276844217509e-12
T_FF3,0.00013808212041013505,0.0008713238779813978,6.912084126968629e-10,6.410349423356349e-07,1.1724152383443018e-12,1.7680240406624757e-11,1.3600834661956376e-08,0.0001693922635833005,4.9992654594118645e-09,4.19603715451174e-07,0.0001361370393866798,3.6485045894340995e-05,7.565021421328167e-06,0.0016782681850386564,4.742701399827622e-12,3.3729456147216014e-11,1.114716311244756e-06,0.0001044898142183263,1.8467171408660766e-07,5.646512781058462e-07,4.4484266155086196e-08,2.0085842148143394e-05,3.180628228753241e-06,0.0005730053036102541,4.942754791446911e-10
T_AR1,0.8304337826154563,6.140575745854777e-14,2.816720416594845e-12,4.5903958487335e-09,5.424791907264636e-06,3.715352182275439e-05,1.0411476970488693e-17,1.8067824561311006e-12,0.00012505135701812046,7.055806477698011e-07,2.259219271845169e-10,9.655876591608685e-09,5.211629162521832e-16,4.7427032971478524e-12,0.0008416356348603792,0.0006250454610691607,1.8779345047397573e-15,8.762303750391138e-13,1.2902009201802744e-09,4.070968155370506e-09,2.986193820921787e-10,1.3932031796778674e-13,3.083638231380483e-08,2.1582913023755354e-11,0.0003569228260822841
T_AR2,0.7456897758752046,2.3548313442441633e-13,9.387101849660804e-12,1.3254908154884126e-08,1.2459674815852598e-05,7.975381230358578e-05,4.1267144165949283e-17,6.339538076616338e-12,0.00025725340272547486,1.7631306307976205e-06,7.052318751321707e-10,2.6628847678881423e-08,1.996894224179384e-15,1.6055870499725222e-11,0.0007555937000625069,0.0011408649710726525,7.178782207572494e-15,3.0928525115249067e-12,3.745830676701995e-09,1.1731396085056024e-08,8.746500000086144e-10,4.939709381893883e-13,8.314582298503162e-08,7.158222195284068e-11,0.0006886536809917517
T_AR3,0.6171142466643694,5.088331522596272e-13,1.964590675801881e-11,2.6713082887500084e-08,2.3302678985915965e-05,0.00014527947505754474,8.978358377512921e-17,1.343082571718111e-11,0.00046028923311212754,3.397754126978841e-06,1.451768281586034e-09,5.294988709994835e-08,4.3141222071415684e-15,3.3729461917167234e-11,0.0006250454610691605,0.0019300865692247922,1.550079274140789e-14,6.561537990596986e-12,7.560834403547514e-09,2.3629359687317425e-08,1.7698623430053784e-09,1.0490540381518728e-12,1.642049711768351e-07,1.4963342077508386e-10,0.0011971040050557898
T_RJ1,0.7469985029571186,8.064763538230739e-08,4.4064217937977096e-13,7.530212181475986e-10,4.2397656578678434e-16,7.879847936571887e-15,2.0178265524360345e-11,7.205154210189119e-07,3.376877841321478e-12,4.835101427977315e-10,5.415237315795885e-07,8.868038075688795e-08,6.762329001939899e-10,1.1147163112582327e-06,1.878058821315063e-15,1.5501158455974635e-14,0.00839671948418555,0.00045099646577691747,2.1126926307394142e-10,6.684047799511655e-10,4.875985205216456e-11,6.765597104556885e-08,5.193954552396013e-09,4.051041223659945e-06,2.7450442309239183e-13
T_RJ2,0.22553209046060377,3.029584888280791e-07,1.871309643519238e-12,2.967154697606444e-09,1.9623312018937133e-15,3.524940762656433e-14,7.747641941257058e-11,2.545925510050662e-06,1.4224224707948868e-11,1.9088790513277744e-09,1.92002450964075e-06,3.263317290526077e-07,2.5381938886727896e-09,3.845665599491615e-06,8.564222993418059e-15,6.902812302142696e-14,0.00253511601103954,0.001499269771295571,8.347042103810592e-10,2.6309529962083145e-09,1.9348342691423596e-10,2.42368188409338e-07,1.9790548874156206e-08,1.3891207984512213e-05,1.1883598651868978e-12
T_RJ3,0.04013436583449681,1.4518843087818404e-05,1.515420310683612e-10,1.7860471481774376e-07,2.0995306015482049e-13,3.4008373725011705e-12,4.149406501759559e-09,8.341876053370194e-05,1.1192286153173944e-09,1.1592703742178299e-07,6.45868619249656e-05,1.389854811117651e-05,1.2108632168664454e-07,0.00010448981421845286,8.762308958522684e-13,6.561539304989271e-12,0.0004509964657769304,0.028228857412980608,5.086287222418914e-08,1.576961966714019e-07,1.2024780885311984e-08,8.769968935431098e-06,1.0172538404763328e-06,0.0003584886178553405,1.0292845980334712e-10
T_DR1,0.44570120957842263,7.250595756428213e-09,9.923591356398734e-08,4.143107437317424e-05,3.6297767169874813e-10,4.173269987378315e-09,1.5861726412626802e-12,9.842868941054556e-08,6.744679503662888e-07,2.8115068271888466e-05,4.2707806809601e-06,5.347530723688812e-05,6.108523270174585e-11,1.8467171409744624e-07,1.2902009197263952e-09,7.560834402259706e-09,2.1126926109147588e-10,5.0862872205692385e-08,0.04416587406070492,3.6825870008733256e-05,3.2734247079778426e-06,8.489548321379608e-09,0.0001359127009451049,7.153919725897235e-07,8.590787616676234e-08
T_IW1,0.005113207989799585,2.2983618806643782e-08,3.029737024407489e-07,0.00012152653644423158,1.152903169796933e-09,1.308102465477969e-08,5.067480426785325e-12,3.043997825418751e-07,2.0534124527642816e-06,8.264624485000841e-05,1.278133229847621e-05,0.00015506340325932458,1.935836872243791e-10,5.646512781041387e-07,4.0709681526316034e-09,2.3629359679701444e-08,6.684047707595896e-10,1.576961965804947e-07,3.682587000870165e-05,0.002276249733161737,9.677226266410712e-06,2.637304293069576e-08,0.00039239206653322157,2.1782995532786357e-06,2.649684080325721e-07
T_IW2,0.003786638250524369,9.767193351862095e-09,1.6167013124183806e-07,8.232429940138868e-05,4.836683156345474e-10,5.964293206230304e-09,2.0482729855225297e-12,1.5045638312405557e-07,1.1145712056035581e-06,5.5294405696102156e-05,7.660439736349221e-06,0.0001135877048796341,8.239924627101256e-11,2.983563010451147e-07,1.7805524605534626e-09,1.0967701506679194e-08,2.8749934354774544e-10,7.680136564883522e-08,2.4546997023705402e-05,0.0019489452845559254,6.26772708151288e-06,1.2696617971048707e-08,0.00029729253701707534,1.180075977402662e-06,1.3315009164343048e-07
T_IM1,0.0004900890623238766,1.6701778604541527e-09,2.3984595974588343e-08,1.090526645099767e-05,8.342490673530594e-11,9.736656621267607e-10,3.624899278387188e-13,2.3340947590145258e-08,1.6383110727241238e-07,7.362697722334688e-06,1.068683008396243e-06,1.4693422107278589e-05,1.4074665233257336e-11,4.448426605892782e-08,2.9861937440888826e-10,1.7698623214346361e-09,4.8759836334788516e-11,1.20247807216788e-08,3.273424707868071e-06,9.677226266151085e-06,0.0016178003058398486,2.002436427950787e-09,3.818155038521102e-05,1.735411584699535e-07,2.0457444746439773e-08
T_FM1,8.115871315849057e-06,2.5020538613062727e-06,2.4556639975080214e-11,2.985438363389714e-08,3.3278043521572405e-14,5.431059983720644e-13,7.03969242129845e-10,1.5372918045411644e-05,1.8184639042349377e-10,1.9357154831470535e-08,1.183915174969009e-05,2.439545880202024e-06,2.088105305147946e-08,2.008584214825584e-05,1.3932032904979367e-13,1.0490541412457236e-12,6.765597103390273e-08,8.769968935333742e-06,8.489548326035397e-09,2.637304299879473e-08,2.0024366273977494e-09,0.0016185386644239229,1.735411585131498e-07,6.981090577033094e-05,1.6580979903026676e-11
T_LIV,0.01507232238399259,1.8200607555052584e-07,1.6876056646671998e-06,0.00043192282956072036,9.283676355290289e-09,9.355144965143437e-08,4.313163167700745e-11,1.9143524379825336e-06,1.1140476726664074e-05,0.00030256275208316575,5.790065876846364e-05,0.00046350202913237134,1.529175486062123e-09,3.180628228776776e-06,3.0836382311393255e-08,1.6420497116999912e-07,5.193954544931425e-09,1.01725384040535e-06,0.00013591270094509122,0.00039239206653327653,3.818155038551199e-05,1.7354115848039023e-07,0.0010777245478834703,1.1797445619964554e-05,1.6287046731238014e-06
T_FND,0.0005053023542815904,0.00015844484211735959,2.9052858777995592e-09,2.472982500322638e-06,5.426111591518092e-12,7.890910388047934e-11,5.1309356069883164e-08,0.0005724509446427588,2.0848967565396047e-08,1.6237342990504478e-06,0.000464615197146886,0.0001296899499846815,1.3137862905884762e-06,0.0005730053036103235,2.158291320217116e-11,1.496334213290762e-10,4.051041223648013e-06,0.00035848861785523666,7.153919725972423e-07,2.1782995533565623e-06,1.735411586798545e-07,6.981090577029054e-05,1.1797445620007336e-05,0.001868429455156524,2.124645897541568e-09
T_ATC,0.35546342683920185,9.078266130979399e-12,2.8142451725101213e-10,3.0034449894289824e-07,0.000165568286959574,0.0008908811553143399,1.6772850271109326e-15,2.0858580893115826e-10,0.0025060674965588455,2.9025454518231233e-05,1.8649305151272258e-08,5.471561578857372e-07,7.687417894705459e-14,4.94275502723102e-10,0.00035692282608228826,0.0011971040050557983,2.745031444215791e-13,1.0292845893541786e-10,8.590787617142101e-08,2.6496840806317613e-07,2.0457444820265633e-08,1.6580981312299323e-11,1.62870467314938e-06,2.124645897515214e-09,0.005535609139296864
